# u |D(u)|
3.002312644540283681e-01 2.060345861800740573e-04
3.004687792987061901e-01 2.363178002928824134e-04
3.007062941433839565e-01 2.704096071463189441e-04
3.009438089880617229e-01 2.880265978251203909e-04
3.011813238327395448e-01 2.809225756804104241e-04
3.014188386774173667e-01 2.522026809966613332e-04
3.016563535220951331e-01 2.167092644746991005e-04
3.018938683667728995e-01 1.994063572932292991e-04
3.021313832114507214e-01 2.158788383084250871e-04
3.023688980561285433e-01 2.508602800052025031e-04
3.026064129008063097e-01 2.793374010497161677e-04
3.028439277454840761e-01 2.863831708749525599e-04
3.030814425901618980e-01 2.688245136433301528e-04
3.033189574348396644e-01 2.347516732806948436e-04
3.035564722795174863e-01 2.041319740921150214e-04
3.037939871241952527e-01 2.015617724811538897e-04
3.040315019688730747e-01 2.292664503758459077e-04
3.042690168135508411e-01 2.638402977342802045e-04
3.045065316582286075e-01 2.839053221455069796e-04
3.047440465029064294e-01 2.798919815853332456e-04
3.049815613475842513e-01 2.535261768578258136e-04
3.052190761922620177e-01 2.180350205760439564e-04
3.054565910369397841e-01 1.974155352931212365e-04
3.056941058816176060e-01 2.099281705135924085e-04
3.059316207262954279e-01 2.437513603094603051e-04
3.061691355709731943e-01 2.737370434202822064e-04
3.064066504156509607e-01 2.836597450406948989e-04
3.066441652603287826e-01 2.690313295321273678e-04
3.068816801050065490e-01 2.364748419417213104e-04
3.071191949496843709e-01 2.043731900347123211e-04
3.073567097943621373e-01 1.976590055566475486e-04
3.075942246390399593e-01 2.224615858235649748e-04
3.078317394837177257e-01 2.571993336845981295e-04
3.080692543283954921e-01 2.795274856478918105e-04
3.083067691730733140e-01 2.785626872624781493e-04
3.085442840177511359e-01 2.546861950832621604e-04
3.087817988624289023e-01 2.195545307377194037e-04
3.090193137071066687e-01 1.959935972152059100e-04
3.092568285517844906e-01 2.044254184770314244e-04
3.094943433964623125e-01 2.367314512464892382e-04
3.097318582411400789e-01 2.679662155833340779e-04
3.099693730858178453e-01 2.806432317015006674e-04
3.102068879304956672e-01 2.689752233013992548e-04
3.104444027751734336e-01 2.381654007102340447e-04
3.106819176198512555e-01 2.050030859504024642e-04
3.109194324645290219e-01 1.943349267608700855e-04
3.111569473092068439e-01 2.159410380408428940e-04
3.113944621538846103e-01 2.505148031861174625e-04
3.116319769985623767e-01 2.749082002567519679e-04
3.118694918432401986e-01 2.769338343527144542e-04
3.121070066879180205e-01 2.556578120559763450e-04
3.123445215325957869e-01 2.212140642022486199e-04
3.125820363772735533e-01 1.951089283975474139e-04
3.128195512219513752e-01 1.994011262752084536e-04
3.130570660666291971e-01 2.298352586357762454e-04
3.132945809113069635e-01 2.620472159466235998e-04
3.135320957559847299e-01 2.773422256099002570e-04
3.137696106006625518e-01 2.686459848364533554e-04
3.140071254453403182e-01 2.397850499776791764e-04
3.142446402900181401e-01 2.059667336917737576e-04
3.144821551346959065e-01 1.915904137160548502e-04
3.147196699793737285e-01 2.097423873912118947e-04
3.149571848240514949e-01 2.438159912855366294e-04
3.151946996687293168e-01 2.700638656234983018e-04
3.154322145134070832e-01 2.750065771661539568e-04
3.156697293580849051e-01 2.564196258464406159e-04
3.159072442027626715e-01 2.229630786377931491e-04
3.161447590474404379e-01 1.947232715955294312e-04
3.163822738921182598e-01 1.948816785738135605e-04
3.166197887367960817e-01 2.230984284349861078e-04
3.168573035814738481e-01 2.560035380253829619e-04
3.170948184261516145e-01 2.737668284968239828e-04
3.173323332708294364e-01 2.680359854402884160e-04
3.175698481155072028e-01 2.412995239978427511e-04
3.178073629601850247e-01 2.072089474085801210e-04
3.180448778048627911e-01 1.894181858414336673e-04
3.182823926495406130e-01 2.039024184836377173e-04
