# tau K_raw K_smooth K_GUE
2.781854569713142489e-01 2.135594759155448261e-02 1.807491554453746208e-01 2.781854569713142489e-01
2.801867911941294254e-01 2.101298188860698524e-01 1.746496054555640165e-01 2.801867911941294254e-01
2.821881254169446573e-01 5.193270379094657718e-01 1.686723718086178547e-01 2.821881254169446573e-01
2.841894596397598893e-01 1.215994551531939666e-01 1.728212909148661991e-01 2.841894596397598893e-01
2.861907938625750658e-01 1.035458458219197797e-01 1.692136079291527984e-01 2.861907938625750658e-01
2.881921280853902978e-01 4.203988788842796809e-01 1.790616211873766739e-01 2.881921280853902978e-01
2.901934623082054743e-01 5.125950146266409352e-02 1.801476383255186664e-01 2.901934623082054743e-01
2.921947965310207063e-01 9.597944990155610027e-04 1.878304636692210705e-01 2.921947965310207063e-01
2.941961307538359383e-01 7.235113014721888947e-02 1.874783527165827801e-01 2.941961307538359383e-01
2.961974649766511147e-01 6.664892140330788695e-02 1.950043697058895797e-01 2.961974649766511147e-01
2.981987991994663467e-01 1.475783951858800902e-01 2.014866776685514116e-01 2.981987991994663467e-01
3.002001334222815232e-01 1.179325890844941382e-01 1.978133432035646122e-01 3.002001334222815232e-01
3.022014676450967552e-01 1.052307602425927718e-01 2.025142578407658489e-01 3.022014676450967552e-01
3.042028018679119872e-01 2.990062386001529626e-01 1.969321469220173260e-01 3.042028018679119872e-01
3.062041360907271637e-01 1.155052199876758189e-02 1.861127634807151487e-01 3.062041360907271637e-01
3.082054703135423956e-01 1.195872424604223078e-01 1.836162017226393717e-01 3.082054703135423956e-01
3.102068045363575721e-01 2.129643508162569476e-01 1.730161995339504211e-01 3.102068045363575721e-01
3.122081387591728041e-01 4.860119016645857853e-02 1.870154864499552205e-01 3.122081387591728041e-01
3.142094729819880361e-01 1.076224362200601248e-01 1.887005509484582788e-01 3.142094729819880361e-01
3.162108072048032126e-01 1.177110025559643530e-01 2.060532342012785789e-01 3.162108072048032126e-01
3.182121414276184446e-01 8.381795523385131286e-02 1.953577699922156019e-01 3.182121414276184446e-01
3.202134756504336766e-01 4.485206929075738480e-02 1.979716047134690293e-01 3.202134756504336766e-01
3.222148098732488530e-01 1.540986773960135395e-03 1.938362245440941045e-01 3.222148098732488530e-01
3.242161440960640850e-01 4.114991354265436496e-01 1.817612301366993144e-01 3.242161440960640850e-01
3.262174783188792615e-01 1.280995332180875079e-01 1.840968467394654695e-01 3.262174783188792615e-01
3.282188125416944935e-01 5.201819753370547916e-01 2.009883046755392422e-01 3.282188125416944935e-01
3.302201467645097255e-01 1.538057708003659763e-01 1.974961805406836857e-01 3.302201467645097255e-01
3.322214809873249020e-01 4.786259586245415476e-01 1.992488274955032668e-01 3.322214809873249020e-01
3.342228152101401339e-01 6.395726418057512408e-02 2.025208847477246166e-01 3.342228152101401339e-01
3.362241494329553104e-01 3.765006117921945172e-01 2.018410315258322707e-01 3.362241494329553104e-01
